cruisePowerVariable1,cruisePowerVariable2,tempVISA,pressAlt,TAS
32,2500,-20,0,164
32,2500,-20,10000,182
32,2500,-20,20000,201
32,2500,-20,25000,211
30,2400,-20,0,155
30,2400,-20,10000,174
30,2400,-20,20000,191
30,2400,-20,25000,202
29,2500,-20,0,155
29,2500,-20,10000,174
29,2500,-20,20000,191
29,2500,-20,25000,202
25,2400,-20,0,133
25,2400,-20,10000,156
25,2400,-20,20000,176
25,2400,-20,25000,185
26,2200,-20,0,133
26,2200,-20,10000,156
26,2200,-20,20000,176
26,2200,-20,25000,185
20,2200,-20,0,95
20,2200,-20,10000,127
20,2200,-20,20000,146
20,2200,-20,25000,155
32,2500,0,0,165
32,2500,0,10000,185
32,2500,0,20000,204
32,2500,0,25000,212
30,2400,0,0,157
30,2400,0,10000,176
30,2400,0,20000,194
30,2400,0,25000,203
29,2500,0,0,157
29,2500,0,10000,176
29,2500,0,20000,194
29,2500,0,25000,203
25,2400,0,0,136
25,2400,0,10000,159
25,2400,0,20000,177
25,2400,0,25000,186
26,2200,0,0,136
26,2200,0,10000,159
26,2200,0,20000,177
26,2200,0,25000,186
20,2200,0,0,102
20,2200,0,10000,131
20,2200,0,20000,149
20,2200,0,25000,156
32,2500,35,0,167
32,2500,35,10000,188
32,2500,35,20000,206
32,2500,35,25000,218
30,2400,35,0,159
30,2400,35,10000,180
30,2400,35,20000,197
30,2400,35,25000,207
29,2500,35,0,159
29,2500,35,10000,180
29,2500,35,20000,197
29,2500,35,25000,207
25,2400,35,0,139
25,2400,35,10000,163
25,2400,35,20000,181
25,2400,35,25000,191
26,2200,35,0,139
26,2200,35,10000,163
26,2200,35,20000,181
26,2200,35,25000,191
20,2200,35,0,106
20,2200,35,10000,135
20,2200,35,20000,151
20,2200,35,25000,161