tempVISA,pressAlt,weight,headwind,feet,metres
-20,0,3200,-10,1400,426.72
-20,0,3200,0,950,289.56
-20,0,3200,30,600,182.88
-20,0,4340,-10,1900,579.12
-20,0,4340,0,1400,426.72
-20,0,4340,30,950,289.56
-20,8000,3200,-10,1800,548.64
-20,8000,3200,0,1300,396.24
-20,8000,3200,30,900,274.32
-20,8000,4340,-10,2900,883.92
-20,8000,4340,0,2100,640.08
-20,8000,4340,30,1950,594.36
0,0,3200,-10,1450,441.96
0,0,3200,0,1050,320.04
0,0,3200,30,650,198.12
0,0,4340,-10,2050,624.84
0,0,4340,0,1650,502.92
0,0,4340,30,1100,335.28
0,8000,3200,-10,2100,640.08
0,8000,3200,0,1550,472.44
0,8000,3200,30,1050,320.04
0,8000,4340,-10,3150,960.12
0,8000,4340,0,2450,746.76
0,8000,4340,30,1800,548.64
35,0,3200,-10,1800,548.64
35,0,3200,0,1350,411.48
35,0,3200,30,800,243.84
35,0,4340,-10,2850,868.68
35,0,4340,0,1550,472.44
35,0,4340,30,1050,320.04
35,8000,3200,-10,2500,762
35,8000,3200,0,1850,563.88
35,8000,3200,30,1300,396.24
35,8000,4340,-10,4000,1219.2
35,8000,4340,0,3100,944.88
35,8000,4340,30,2300,701.04